date,max_temp,max_temp1,max_temp2,location,mean_temp,mean_temp1,mean_temp2,min_temp,min_temp1,min_temp2,dew_point,dew_point1,dew_point2,precipitation,precipitation1,precipitation2,wind,wind1,wind2,density_per_km,airport_dist_any,airport_dist_large,mosquito_dist,zika_cases
2016-02-03,33.0,33.0,33.0,Mexico-Guerrero,27.0,27.0,27.0,21.0,20.0,21.0,22.0,21.0,22.0,0.0,0.0,0.0,6.0,6.0,5.0,29.28565788269043,0.5090270397815225,0.5090270397815225,0.016628203381519078,0
2016-02-03,29.0,29.0,30.0,Colombia-Santander-San_Andres,27.0,27.0,28.0,25.0,25.0,26.0,23.0,23.0,23.0,0.0,2.54,0.76,11.0,16.0,13.0,3573.1337890625,0.0015315121277800208,17.472448437127795,9.431652133927765,0
2016-02-03,29.0,29.0,30.0,Colombia-San_Andres-San_Andres,27.0,27.0,28.0,25.0,25.0,26.0,23.0,23.0,23.0,0.0,2.54,0.76,11.0,16.0,13.0,3573.1337890625,0.0015315121277800208,17.472448437127795,9.431652133927765,0
2016-02-03,29.0,29.0,30.0,Colombia-San_Andres,27.0,27.0,28.0,25.0,25.0,26.0,23.0,23.0,23.0,0.0,2.54,0.76,11.0,16.0,13.0,3573.1337890625,0.0015315121277800208,17.472448437127795,9.431652133927765,0
2016-02-03,28.0,29.0,30.0,Argentina-Buenos_Aires,25.0,25.0,26.0,21.0,21.0,23.0,17.0,16.0,18.0,0.0,2.53,5.08,17.0,19.0,20.0,12625.80078125,0.0031828711961701074,0.07151369279617309,0.008009055596170215,0
2016-02-03,28.0,29.0,30.0,Argentina-CABA,25.0,25.0,26.0,21.0,21.0,23.0,17.0,16.0,18.0,0.0,2.53,5.08,17.0,19.0,20.0,12625.80078125,0.0031828711961701074,0.07151369279617309,0.008009055596170215,0
2016-02-03,0.0,10.666666666666668,24.88888888888889,Brazil-Mato_Grosso,41.23255813953489,41.17021276595744,19.92,0.0,0.0,16.0,37.18604651162791,35.70212765957447,14.48,0.0,4.06,73.16,5.0,7.0,7.0,0.1857762336730957,8.593516994790434,91.20832890879045,0.10780195719044247,0
2016-02-03,26.0,21.0,24.0,Mexico-Aguascalientes,14.0,12.0,12.0,3.0,3.0,1.0,7.0,3.0,9.0,0.0,0.0,0.0,10.0,12.0,10.0,7810.2490234375,0.03283145172173019,2.897709681121747,1.5684827693217334,0
2016-02-03,30.0,30.0,29.0,Brazil-Sergipe,27.0,27.0,27.0,25.0,25.0,24.0,23.0,24.0,25.0,0.0,0.0,0.0,13.0,14.0,11.0,105.86270141601562,0.26766345681916964,6.35480376501917,0.004392900019170269,0
2016-02-03,35.0,35.0,33.0,Colombia-Antioquia-Granada,29.0,28.0,27.0,23.0,22.0,22.0,19.0,18.0,19.0,2.03,0.0,0.0,2.0,3.0,2.0,248.09783935546875,0.3023843895219989,1.5341557695220058,0.19236622752200075,0
2016-02-03,35.0,35.0,33.0,Colombia-Cesar-San_Martin,29.0,28.0,27.0,23.0,22.0,22.0,19.0,18.0,19.0,2.03,0.0,0.0,2.0,3.0,2.0,4.8640546798706055,0.16055092892800096,1.2092512009279992,0.08317704092799988,0
2016-02-03,35.0,35.0,33.0,Colombia-Cundinamarca-Granada,29.0,28.0,27.0,23.0,22.0,22.0,19.0,18.0,19.0,2.03,0.0,0.0,2.0,3.0,2.0,248.09783935546875,0.3023843895219989,1.5341557695220058,0.19236622752200075,0
2016-02-03,35.0,35.0,33.0,Colombia-Meta-Acacias,29.0,28.0,27.0,23.0,22.0,22.0,19.0,18.0,19.0,2.03,0.0,0.0,2.0,3.0,2.0,82.53010559082031,0.04837412020999584,0.6496413722100101,0.00017359020999984227,0
2016-02-03,35.0,35.0,33.0,Colombia-Meta-Cabuyaro,29.0,28.0,27.0,23.0,22.0,22.0,19.0,18.0,19.0,2.03,0.0,0.0,2.0,3.0,2.0,4.747581958770752,0.6374425328904155,2.0094600096904283,0.06270636429041128,0
2016-02-03,35.0,35.0,33.0,Colombia-Meta-Castilla_La_Nueva,29.0,28.0,27.0,23.0,22.0,22.0,19.0,18.0,19.0,2.03,0.0,0.0,2.0,3.0,2.0,28.88602066040039,0.07775704645199805,0.9728653264520086,0.028031558452001244,0
2016-02-03,35.0,35.0,33.0,Colombia-Meta-Cubarral,29.0,28.0,27.0,23.0,22.0,22.0,19.0,18.0,19.0,2.03,0.0,0.0,2.0,3.0,2.0,9.168292999267578,0.1687668357779964,0.973234807778006,0.05088869777799868,0
2016-02-03,35.0,35.0,33.0,Colombia-Meta-Fuente_De_Oro,29.0,28.0,27.0,23.0,22.0,22.0,19.0,18.0,19.0,2.03,0.0,0.0,2.0,3.0,2.0,27.542747497558594,0.3796264024449991,1.8141064264450044,0.28741006044500106,0
2016-02-03,35.0,35.0,33.0,Colombia-Meta-Granada,29.0,28.0,27.0,23.0,22.0,22.0,19.0,18.0,19.0,2.03,0.0,0.0,2.0,3.0,2.0,248.09783935546875,0.3023843895219989,1.5341557695220058,0.19236622752200075,0
2016-02-03,35.0,35.0,33.0,Colombia-Meta-Mesetas,29.0,28.0,27.0,23.0,22.0,22.0,19.0,18.0,19.0,2.03,0.0,0.0,2.0,3.0,2.0,4.267838478088379,0.7128125416259993,1.7530632336260008,0.4381529876259984,0
2016-02-03,35.0,35.0,33.0,Colombia-Meta-Lejanias,29.0,28.0,27.0,23.0,22.0,22.0,19.0,18.0,19.0,2.03,0.0,0.0,2.0,3.0,2.0,8.06638240814209,0.5152889078450007,1.397806211845001,0.27594157784499923,0
2016-02-03,35.0,35.0,33.0,Colombia-Meta-Puerto_Lopez,29.0,28.0,27.0,23.0,22.0,22.0,19.0,18.0,19.0,2.03,0.0,0.0,2.0,3.0,2.0,5.9399776458740225,0.3687843000400066,1.791564868040021,1.849603999997417e-05,0
2016-02-03,35.0,35.0,33.0,Colombia-Meta-Puerto_Lleras,29.0,28.0,27.0,23.0,22.0,22.0,19.0,18.0,19.0,2.03,0.0,0.0,2.0,3.0,2.0,4.235280990600587,0.6831764571600021,2.648157073160016,0.6531353971600075,0
2016-02-03,35.0,35.0,33.0,Colombia-Meta-San_Carlos_De_Guaroa,29.0,28.0,27.0,23.0,22.0,22.0,19.0,18.0,19.0,2.03,0.0,0.0,2.0,3.0,2.0,23.26479339599609,0.2367894528500072,1.8025317688500269,0.2236112948499982,0
2016-02-03,35.0,35.0,33.0,Colombia-Meta-San_Juan_De_Arama,29.0,28.0,27.0,23.0,22.0,22.0,19.0,18.0,19.0,2.03,0.0,0.0,2.0,3.0,2.0,8.038856506347656,0.6387866905999967,1.9038684106000041,0.4181325505999982,0
2016-02-03,35.0,35.0,33.0,Colombia-Meta-San_Martin,29.0,28.0,27.0,23.0,22.0,22.0,19.0,18.0,19.0,2.03,0.0,0.0,2.0,3.0,2.0,4.8640546798706055,0.16055092892800096,1.2092512009279992,0.08317704092799988,0
2016-02-03,35.0,35.0,33.0,Colombia-Meta-Vistahermosa,29.0,28.0,27.0,23.0,22.0,22.0,19.0,18.0,19.0,2.03,0.0,0.0,2.0,3.0,2.0,5.954460144042969,0.9348406438329964,2.6334651118330066,0.7261594518329998,0
2016-02-03,32.0,32.0,32.0,Colombia-Antioquia-Apartado,28.0,28.0,28.0,24.0,24.0,25.0,23.0,23.0,23.0,0.0,0.25,0.0,15.0,14.0,15.0,337.5601806640625,0.013344269984999385,9.020174943985,0.05828255798500213,0
2016-02-03,32.0,32.0,32.0,Colombia-Antioquia-Carepa,28.0,28.0,28.0,24.0,24.0,25.0,23.0,23.0,23.0,0.0,0.25,0.0,15.0,14.0,15.0,154.77517700195312,0.006877385190809472,9.170557592590793,0.12434141599081075,0
2016-02-03,32.0,32.0,32.0,Colombia-Antioquia-Chigorodo,28.0,28.0,28.0,24.0,24.0,25.0,23.0,23.0,23.0,0.0,0.25,0.0,15.0,14.0,15.0,113.80782318115234,0.023062923900999836,9.296341981901016,0.19189617990099966,0
2016-02-03,32.0,32.0,32.0,Colombia-Antioquia-Dabeiba,28.0,28.0,28.0,24.0,24.0,25.0,23.0,23.0,23.0,0.0,0.25,0.0,15.0,14.0,15.0,16.775135040283207,0.8744581188520003,9.720099110851953,0.9177042628519892,0
2016-02-03,32.0,32.0,32.0,Colombia-Antioquia-Murindo,28.0,28.0,28.0,24.0,24.0,25.0,23.0,23.0,23.0,0.0,0.25,0.0,15.0,14.0,15.0,3.732408285140991,0.7015594577000033,10.930803277699974,1.2603870977000005,0
2016-02-03,32.0,32.0,32.0,Colombia-Antioquia-Mutata,28.0,28.0,28.0,24.0,24.0,25.0,23.0,23.0,23.0,0.0,0.25,0.0,15.0,14.0,15.0,18.64676284790039,0.4005863967249925,11.704419962725014,0.8186574647249978,0
2016-02-03,32.0,32.0,32.0,Colombia-Antioquia-Necocli,28.0,28.0,28.0,24.0,24.0,25.0,23.0,23.0,23.0,0.0,0.25,0.0,15.0,14.0,15.0,53.03141784667969,0.3835767859599993,7.15020820195998,0.11036957795999912,0
2016-02-03,32.0,32.0,32.0,Colombia-Antioquia-San_Pedro_De_Uraba,28.0,28.0,28.0,24.0,24.0,25.0,23.0,23.0,23.0,0.0,0.25,0.0,15.0,14.0,15.0,68.20747375488281,0.3282285140899974,9.651911354089988,0.15361053409000466,0
2016-02-03,32.0,32.0,32.0,Colombia-Antioquia-Turbo,28.0,28.0,28.0,24.0,24.0,25.0,23.0,23.0,23.0,0.0,0.25,0.0,15.0,14.0,15.0,56.252159118652344,0.08033405546225006,7.998870426462225,2.5821462250007408e-05,0
2016-02-03,32.0,32.0,32.0,Colombia-Choco-Acandi,28.0,28.0,28.0,24.0,24.0,25.0,23.0,23.0,23.0,0.0,0.25,0.0,15.0,14.0,15.0,14.11434555053711,0.8043026562809951,4.741498874281024,0.4695684322809849,0
2016-02-03,32.0,32.0,32.0,Colombia-Choco-Belen_De_Bajira,28.0,28.0,28.0,24.0,24.0,25.0,23.0,23.0,23.0,0.0,0.25,0.0,15.0,14.0,15.0,15.98078441619873,0.19414942390900025,10.008513149909,0.5311239559089997,0
2016-02-03,32.0,32.0,32.0,Colombia-Choco-Unguia,28.0,28.0,28.0,24.0,24.0,25.0,23.0,23.0,23.0,0.0,0.25,0.0,15.0,14.0,15.0,16.55914306640625,0.19737868422400487,6.292268956223976,0.13478050822399734,0
2016-02-03,32.0,32.0,32.0,Panama-Darien,28.0,28.0,28.0,24.0,24.0,25.0,23.0,23.0,23.0,0.0,0.25,0.0,15.0,14.0,15.0,0.971513330936432,1.2591869132189346,3.8377533610189296,1.2785918548189126,0
2016-02-03,23.0,25.0,23.0,Ecuador-Bolivar,17.0,18.0,18.0,11.0,11.0,12.0,12.0,10.0,13.0,0.25,0.0,0.51,6.0,4.0,4.0,151.37063598632812,0.4685289706962459,0.8282169608962489,4.610497816896267,0
2016-02-03,23.0,25.0,23.0,Ecuador-Chimborazo,17.0,18.0,18.0,11.0,11.0,12.0,12.0,10.0,13.0,0.25,0.0,0.51,6.0,4.0,4.0,50.11248779296875,0.12473898633139754,0.3565600371313992,6.125330569531423,0
2016-02-03,23.0,25.0,23.0,Ecuador-Tungurahua,17.0,18.0,18.0,11.0,11.0,12.0,12.0,10.0,13.0,0.25,0.0,0.51,6.0,4.0,4.0,114.0572509765625,0.08361924211754046,0.3465048381175394,5.571710019917562,0
2016-02-03,35.0,34.0,33.0,Colombia-Arauca-Arauca,28.0,27.0,27.0,21.0,20.0,20.0,22.0,23.0,22.0,0.0,0.0,0.0,5.0,5.0,5.0,11.541993141174315,0.3425121660432145,13.294725668043224,3.8413660634432207,0
2016-02-03,35.0,34.0,33.0,Colombia-Arauca-Cravo_Norte,28.0,27.0,27.0,21.0,20.0,20.0,22.0,23.0,22.0,0.0,0.0,0.0,5.0,5.0,5.0,0.7731643915176392,0.8702099267809997,18.125351446781064,2.6892435527809906,0
2016-02-03,35.0,34.0,33.0,Colombia-Arauca,28.0,27.0,27.0,21.0,20.0,20.0,22.0,23.0,22.0,0.0,0.0,0.0,5.0,5.0,5.0,11.541993141174315,0.3425121660432145,13.294725668043224,3.8413660634432207,0
2016-02-03,31.0,31.0,31.0,Colombia-Antioquia-Armenia,23.0,24.0,24.0,17.0,18.0,17.0,18.0,18.0,18.0,0.0,19.05,0.0,3.0,3.0,2.0,3085.7080078125,0.01488017844560011,2.3647783136455933,0.0006160384455999662,0
2016-02-03,31.0,31.0,31.0,Colombia-Boyaca-Buenavista,23.0,24.0,24.0,17.0,18.0,17.0,18.0,18.0,18.0,0.0,19.05,0.0,3.0,3.0,2.0,57.58235168457031,0.009550236073000571,2.655987534072968,0.0302356840730002,0
2016-02-03,31.0,31.0,31.0,Colombia-Cordoba-Buenavista,23.0,24.0,24.0,17.0,18.0,17.0,18.0,18.0,18.0,0.0,19.05,0.0,3.0,3.0,2.0,57.58235168457031,0.009550236073000571,2.655987534072968,0.0302356840730002,0
2016-02-03,31.0,31.0,31.0,Colombia-Quindio-Armenia,23.0,24.0,24.0,17.0,18.0,17.0,18.0,18.0,18.0,0.0,19.05,0.0,3.0,3.0,2.0,3085.7080078125,0.01488017844560011,2.3647783136455933,0.0006160384455999662,0
2016-02-03,31.0,31.0,31.0,Colombia-Quindio-Buenavista,23.0,24.0,24.0,17.0,18.0,17.0,18.0,18.0,18.0,0.0,19.05,0.0,3.0,3.0,2.0,57.58235168457031,0.009550236073000571,2.655987534072968,0.0302356840730002,0
2016-02-03,31.0,31.0,31.0,Colombia-Quindio-Calarca,23.0,24.0,24.0,17.0,18.0,17.0,18.0,18.0,18.0,0.0,19.05,0.0,3.0,3.0,2.0,440.4425048828125,0.02175896305300272,2.259710853052967,0.0035520490530009845,0
2016-02-03,31.0,31.0,31.0,Colombia-Quindio-Circasia,23.0,24.0,24.0,17.0,18.0,17.0,18.0,18.0,18.0,0.0,19.05,0.0,3.0,3.0,2.0,311.86431884765625,0.04360511686100214,2.2232949148609693,0.011560180861000722,0
2016-02-03,31.0,31.0,31.0,Colombia-Quindio-Genova,23.0,24.0,24.0,17.0,18.0,17.0,18.0,18.0,18.0,0.0,19.05,0.0,3.0,3.0,2.0,22.735050201416016,0.05062326515401151,2.5226762949539863,0.07947914055401034,0
2016-02-03,31.0,31.0,31.0,Colombia-Quindio-La_Tebaida,23.0,24.0,24.0,17.0,18.0,17.0,18.0,18.0,18.0,0.0,19.05,0.0,3.0,3.0,2.0,624.717529296875,0.0006521266439994468,2.766187442643964,0.01248593464400018,0
2016-02-03,31.0,31.0,31.0,Colombia-Quindio-Montenegro,23.0,24.0,24.0,17.0,18.0,17.0,18.0,18.0,18.0,0.0,19.05,0.0,3.0,3.0,2.0,331.18927001953125,0.013165542169000259,2.5883168761689683,0.002951884169000123,0
2016-02-03,31.0,31.0,31.0,Colombia-Quindio-Pijao,23.0,24.0,24.0,17.0,18.0,17.0,18.0,18.0,18.0,0.0,19.05,0.0,3.0,3.0,2.0,21.81972885131836,0.017596118800001285,2.552835342799968,0.037415566799999966,0
2016-02-03,31.0,31.0,31.0,Colombia-Quindio-Quimbaya,23.0,24.0,24.0,17.0,18.0,17.0,18.0,18.0,18.0,0.0,19.05,0.0,3.0,3.0,2.0,275.74273681640625,0.02991392887399986,2.6135791128739827,0.01188813087400058,0
2016-02-03,31.0,31.0,31.0,Colombia-Sucre-Buenavista,23.0,24.0,24.0,17.0,18.0,17.0,18.0,18.0,18.0,0.0,19.05,0.0,3.0,3.0,2.0,57.58235168457031,0.009550236073000571,2.655987534072968,0.0302356840730002,0
2016-02-03,31.0,31.0,31.0,Colombia-Tolima-Roncesvalles,23.0,24.0,24.0,17.0,18.0,17.0,18.0,18.0,18.0,0.0,19.05,0.0,3.0,3.0,2.0,6.3143882751464835,0.2219520746945012,2.6036197774944907,0.2791324616945004,0
2016-02-03,31.0,31.0,31.0,Colombia-Tolima-San_Antonio,23.0,24.0,24.0,17.0,18.0,17.0,18.0,18.0,18.0,0.0,19.05,0.0,3.0,3.0,2.0,35.874210357666016,0.3722898151220048,2.3973064311219856,0.4277952211220031,0
2016-02-03,31.0,31.0,31.0,Colombia-Valle_Del_Cauca-Caicedonia,23.0,24.0,24.0,17.0,18.0,17.0,18.0,18.0,18.0,0.0,19.05,0.0,3.0,3.0,2.0,138.66226196289062,0.018154977035409137,2.9589848188353844,0.05255737443541103,0
2016-02-03,31.0,31.0,31.0,Colombia-Valle_Del_Cauca-Sevilla,23.0,24.0,24.0,17.0,18.0,17.0,18.0,18.0,18.0,0.0,19.05,0.0,3.0,3.0,2.0,79.19438171386719,0.05913217462440878,3.365530932424396,0.11418542602441345,0
2016-02-03,31.0,31.0,31.0,Colombia-Valle_Del_Cauca-Zarzal,23.0,24.0,24.0,17.0,18.0,17.0,18.0,18.0,18.0,0.0,19.05,0.0,3.0,3.0,2.0,152.686279296875,0.09753905554099196,3.8032455375409486,0.14992449354099882,0
