date,max_temp,max_temp1,max_temp2,location,mean_temp,mean_temp1,mean_temp2,min_temp,min_temp1,min_temp2,dew_point,dew_point1,dew_point2,precipitation,precipitation1,precipitation2,wind,wind1,wind2,density_per_km,airport_dist_any,airport_dist_large,mosquito_dist,zika_cases
2016-06-29,95.0,94.0,92.0,Mexico-Guerrero,84.0,84.0,82.0,72.0,73.0,72.0,76.0,76.0,75.0,0.27,0.0,3.36,5.0,4.0,5.0,29.28565788269043,0.5090270397815225,0.5090270397815225,0.016628203381519078,0
2016-06-29,89.0,87.0,87.0,Colombia-Santander-San_Andres,84.0,82.0,83.0,79.0,78.0,79.0,78.0,78.0,78.0,1.78,0.57,0.67,15.0,11.0,9.0,3573.1337890625,0.0015315121277800208,17.472448437127795,9.431652133927765,0
2016-06-29,89.0,87.0,87.0,Colombia-San_Andres-San_Andres,84.0,82.0,83.0,79.0,78.0,79.0,78.0,78.0,78.0,1.78,0.57,0.67,15.0,11.0,9.0,3573.1337890625,0.0015315121277800208,17.472448437127795,9.431652133927765,0
2016-06-29,89.0,87.0,87.0,Colombia-San_Andres,84.0,82.0,83.0,79.0,78.0,79.0,78.0,78.0,78.0,1.78,0.57,0.67,15.0,11.0,9.0,3573.1337890625,0.0015315121277800208,17.472448437127795,9.431652133927765,0
2016-06-29,56.0,54.0,60.0,Argentina-Buenos_Aires,53.0,51.0,53.0,50.0,47.0,47.0,51.0,46.0,44.0,1.38,0.0,0.0,10.0,6.0,4.0,12625.80078125,0.0031828711961701074,0.07151369279617309,0.008009055596170215,0
2016-06-29,56.0,54.0,60.0,Argentina-CABA,53.0,51.0,53.0,50.0,47.0,47.0,51.0,46.0,44.0,1.38,0.0,0.0,10.0,6.0,4.0,12625.80078125,0.0031828711961701074,0.07151369279617309,0.008009055596170215,0
2016-06-29,96.0,81.0,62.0,Brazil-Mato_Grosso,80.0,88.0,50.2,64.0,76.0,39.4,59.0,61.0,36.4,0.0,0.0,0.0,6.0,4.0,5.0,0.1857762336730957,8.593516994790434,91.20832890879045,0.10780195719044247,0
2016-06-29,82.0,84.0,86.0,Mexico-Aguascalientes,70.0,70.0,71.0,57.0,55.0,57.0,49.0,47.0,52.0,3.0,0.52,0.92,6.0,7.0,4.0,7810.2490234375,0.03283145172173019,2.897709681121747,1.5684827693217334,0
2016-06-29,71.75,61.40000000000001,73.0,Brazil-Sergipe,65.75,56.6,73.0,59.0,51.8,73.0,62.16666666666666,59.0,51.8,0.0,0.0,0.0,12.0,10.0,7.0,105.86270141601562,0.26766345681916964,6.35480376501917,0.004392900019170269,0
2016-06-29,83.0,82.0,81.0,Colombia-Antioquia-Granada,77.0,76.0,74.0,70.0,69.0,68.0,70.0,70.0,70.0,1.3,0.53,1.35,1.0,3.0,2.0,248.09783935546875,0.3023843895219989,1.5341557695220058,0.19236622752200075,0
