date,max_temp,max_temp1,max_temp2,location,mean_temp,mean_temp1,mean_temp2,min_temp,min_temp1,min_temp2,dew_point,dew_point1,dew_point2,precipitation,precipitation1,precipitation2,wind,wind1,wind2,density_per_km,airport_dist_any,airport_dist_large,mosquito_dist,zika_cases
2016-01-14,33.0,34.0,35.0,Mexico-Guerrero,27.0,28.0,28.0,21.0,21.0,22.0,22.0,23.0,23.0,10.92,0.0,0.25,7.0,8.0,6.0,29.28565788269043,0.5090270397815225,0.5090270397815225,0.016628203381519078,0
2016-01-14,29.0,29.0,30.0,Colombia-Santander-San_Andres,27.0,28.0,28.0,24.0,26.0,26.0,23.0,24.0,25.0,3.05,0.0,2.54,9.0,12.0,22.0,3573.1337890625,0.0015315121277800208,17.472448437127795,9.431652133927765,0
2016-01-14,29.0,29.0,30.0,Colombia-San_Andres-San_Andres,27.0,28.0,28.0,24.0,26.0,26.0,23.0,24.0,25.0,3.05,0.0,2.54,9.0,12.0,22.0,3573.1337890625,0.0015315121277800208,17.472448437127795,9.431652133927765,0
2016-01-14,29.0,29.0,30.0,Colombia-San_Andres,27.0,28.0,28.0,24.0,26.0,26.0,23.0,24.0,25.0,3.05,0.0,2.54,9.0,12.0,22.0,3573.1337890625,0.0015315121277800208,17.472448437127795,9.431652133927765,0
2016-01-14,29.0,28.0,29.0,Argentina-Buenos_Aires,25.0,25.0,27.0,21.0,22.0,24.0,17.0,17.0,21.0,2.03,0.51,19.05,16.0,18.0,14.0,12625.80078125,0.0031828711961701074,0.07151369279617309,0.008009055596170215,0
2016-01-14,29.0,28.0,29.0,Argentina-CABA,25.0,25.0,27.0,21.0,22.0,24.0,17.0,17.0,21.0,2.03,0.51,19.05,16.0,18.0,14.0,12625.80078125,0.0031828711961701074,0.07151369279617309,0.008009055596170215,0
2016-01-14,0.0,10.666666666666668,21.333333333333336,Brazil-Mato_Grosso,44.9767441860465,44.29787234042553,17.4,0.0,0.0,0.0,41.58139534883721,38.97872340425532,12.1,102.63,18.04,10.92,6.0,6.0,6.0,0.1857762336730957,8.593516994790434,91.20832890879045,0.10780195719044247,0
2016-01-14,22.0,21.0,23.0,Mexico-Aguascalientes,12.0,13.0,15.0,3.0,4.0,7.0,3.0,2.0,5.0,0.25,0.0,0.0,9.0,10.0,10.0,7810.2490234375,0.03283145172173019,2.897709681121747,1.5684827693217334,0
2016-01-14,30.0,30.0,30.0,Brazil-Sergipe,28.0,28.0,28.0,26.0,25.0,25.0,25.0,25.0,24.0,0.0,0.0,0.0,14.0,14.0,18.0,105.86270141601562,0.26766345681916964,6.35480376501917,0.004392900019170269,0
2016-01-14,32.0,32.0,31.0,Colombia-Antioquia-Granada,27.0,27.0,26.0,22.0,22.0,21.0,21.0,21.0,20.0,0.0,0.0,0.51,3.0,2.0,2.0,248.09783935546875,0.3023843895219989,1.5341557695220058,0.19236622752200075,0
2016-01-14,32.0,32.0,31.0,Colombia-Cesar-San_Martin,27.0,27.0,26.0,22.0,22.0,21.0,21.0,21.0,20.0,0.0,0.0,0.51,3.0,2.0,2.0,4.8640546798706055,0.16055092892800096,1.2092512009279992,0.08317704092799988,0
2016-01-14,32.0,32.0,31.0,Colombia-Cundinamarca-Granada,27.0,27.0,26.0,22.0,22.0,21.0,21.0,21.0,20.0,0.0,0.0,0.51,3.0,2.0,2.0,248.09783935546875,0.3023843895219989,1.5341557695220058,0.19236622752200075,0
2016-01-14,32.0,32.0,31.0,Colombia-Meta-Acacias,27.0,27.0,26.0,22.0,22.0,21.0,21.0,21.0,20.0,0.0,0.0,0.51,3.0,2.0,2.0,82.53010559082031,0.04837412020999584,0.6496413722100101,0.00017359020999984227,0
2016-01-14,32.0,32.0,31.0,Colombia-Meta-Cabuyaro,27.0,27.0,26.0,22.0,22.0,21.0,21.0,21.0,20.0,0.0,0.0,0.51,3.0,2.0,2.0,4.747581958770752,0.6374425328904155,2.0094600096904283,0.06270636429041128,0
